Name,total_points_earned,finish_time_sum_hours,finish_distinct_map_count,finish_map_count,finish_points_total,finish_race_point,finish_solo_point,finish_ddmax_point,finish_dummy_point,finish_brutal_point,finish_insane_point,finish_novice_point,finish_moderate_point,finish_oldschool_point,finish_fun_point,finish_race_new_map_count,finish_solo_new_map_count,finish_ddmax_new_map_count,finish_dummy_new_map_count,finish_brutal_new_map_count,finish_insane_new_map_count,finish_novice_new_map_count,finish_moderate_new_map_count,finish_oldschool_new_map_count,finish_fun_new_map_count,finish_fun_map_count,finish_race_map_count,finish_solo_map_count,finish_ddmax_map_count,finish_dummy_map_count,finish_brutal_map_count,finish_insane_map_count,finish_novice_map_count,finish_moderate_map_count,finish_oldschool_map_count,most_finished_map_2021,map_finished_count,most_finished_map_2021_spend_minues
小馒头,6142,503.9701722222224,652,842,7511,10,336,1984,340,759,0,319,2166,228,0,7,57,208,24,40,0,96,190,29,1,0,12,464,2188,405,858,0,425,2907,252,luminati,15,584.65133333333335
大块,6124,464.47329444444438,605,656,6621,4,132,1984,320,855,0,262,2303,264,0,1,22,198,23,44,0,80,203,33,1,0,4,132,2144,380,876,0,278,2525,282,Yun Gu,3,195.06699999999998
哦还好,6077,628.59836666666672,734,958,7090,44,312,2212,175,375,0,495,2086,378,0,18,50,240,14,20,0,150,194,44,4,0,54,436,2440,190,375,0,795,2386,414,NUT_short_race6,13,0.61433333333333329
3369,6012,520.46500555555554,659,761,7016,8,264,2244,420,396,0,344,2108,228,0,4,43,240,30,21,0,100,192,29,0,0,8,276,2324,435,417,0,430,2892,234,lumine,19,226.04766666666671
自行车,5995,548.29137777777714,724,1301,8190,64,516,2220,295,267,0,406,1867,360,0,26,80,239,23,14,0,123,175,42,2,0,66,696,2760,310,267,0,1135,2542,414,DontMove,163,163.979
轻音乐,5995,699.22138333333362,671,913,7082,2,212,1964,190,867,0,490,2168,102,0,1,39,212,15,45,0,149,196,14,0,0,2,320,2092,190,885,0,899,2562,132,NUT_short_race6,26,1.679
BeiKe,5944,446.94041666666658,694,848,6810,2,316,1932,340,549,0,491,2068,246,0,1,53,212,25,28,0,149,192,30,4,0,2,388,2064,390,588,0,754,2366,258,Jajpack,7,1.3306666666666667
呆呆带带,5924,591.83382222222156,708,1108,8334,12,288,2116,500,195,0,495,2138,180,0,5,48,235,35,10,0,150,198,24,3,0,12,376,2476,905,195,0,1222,2950,198,luminati,13,171.00466666666665
一城之诗。,5890,549.55512222222194,667,923,7502,20,288,1528,455,702,0,396,2333,168,0,9,54,177,32,34,0,123,209,24,5,0,26,440,1728,580,702,0,733,3119,174,Kobra,8,459.40533333333332
早坂愛上我,5884,412.86179444444451,681,750,6131,50,448,1956,340,633,0,397,1814,246,0,23,73,208,25,33,0,117,166,30,6,0,56,512,2000,350,633,0,427,1895,258,Time Calculator,9,0.20866666666666667
公仔,5876,571.565227777778,696,963,7569,16,260,2172,315,282,0,412,1921,498,0,7,51,238,24,15,0,126,181,52,2,0,20,352,2648,410,282,0,781,2548,528,lumine,8,240.31666666666666
是清明呀,5869,487.84418333333355,604,726,6851,10,236,1884,125,918,0,282,2144,270,0,5,35,198,9,48,0,86,190,33,0,0,10,256,2120,145,939,0,343,2756,282,CYO,9,6.4116666666666671
娃哈哈,5852,766.11417777777774,670,1146,8054,2,192,1892,260,765,0,495,1922,324,0,1,34,204,19,40,0,150,178,40,4,0,2,280,2236,400,765,0,1516,2471,384,LearnToPlay,23,469.4756666666666
坎R坷,5776,539.92528888888864,683,1183,8428,50,404,1948,420,276,0,450,2000,228,0,19,64,206,30,15,0,138,182,29,0,0,74,660,2388,805,276,0,1446,2527,252,Multeasymap,15,392.63166666666666
五更琉璃,5731,472.98967222222228,618,957,8344,26,264,1464,335,1191,0,359,1828,264,0,13,43,167,24,59,0,111,168,32,1,0,26,332,1700,415,1557,0,806,3124,384,Kobra,39,4120.7523333333329
moonan,5700,464.86775555555556,630,674,5952,236,488,1812,280,264,0,141,2059,420,0,67,74,190,19,14,0,43,179,39,5,0,250,540,1832,280,300,0,162,2168,420,run_g6,12,1.9143333333333334
搁浅,5698,593.89056666666659,651,943,6756,24,380,1728,305,732,0,495,1776,258,0,11,59,178,23,37,0,150,162,30,1,0,24,436,1808,405,732,0,1102,1985,264,DontMove,46,43.061000000000007
timi,5686,532.7395333333335,700,935,6652,38,328,2096,365,108,0,492,1959,300,0,15,55,230,27,6,0,148,183,36,0,0,38,376,2200,365,108,0,1156,2103,306,Dark Moon,7,270.80899999999997
别惹我,5672,517.03591666666648,624,839,6933,0,156,2024,230,432,0,410,2042,378,0,0,28,207,18,22,0,122,186,41,0,0,0,216,2264,285,432,0,773,2537,426,Epix,7,254.70966666666666
电竞爱婴诗,5624,543.4750333333335,640,877,6977,0,152,2104,245,360,0,425,1966,372,0,0,28,225,18,19,0,127,180,42,1,0,0,208,2276,265,399,0,836,2585,408,Geneque,10,171.06333333333333
Rui,5614,621.33069444444413,564,801,7360,0,44,1040,120,1407,0,440,2455,108,0,0,7,115,9,68,0,134,219,12,0,0,0,52,1136,175,1554,0,902,3421,120,Kobra,23,1606.0423333333333
清欢渡,5609,536.5668222222223,713,1095,7286,38,368,2300,370,153,0,495,1609,276,0,19,63,250,27,8,0,150,157,35,4,0,46,476,2584,655,153,0,1190,1888,294,Epix,10,361.814
上头,5590,890.07396111111063,686,1200,8061,6,168,2312,250,153,0,491,1880,330,0,3,34,251,20,8,0,149,178,42,1,0,8,272,3204,290,153,0,1502,2230,402,Epix,12,536.274
耳,5574,513.35554444444415,670,885,6779,2,224,2064,380,117,0,472,2177,138,0,1,42,228,27,6,0,144,199,20,3,0,2,236,2448,395,117,0,843,2576,162,luminati,8,136.114
one shadow,5559,577.96784444444506,691,945,6540,12,252,2236,225,246,0,494,1740,354,0,7,48,244,17,13,0,149,166,43,4,0,14,292,2308,225,246,0,1160,1905,390,Kobra 2,8,390.39266666666663
